,retail,book,food,auto,furni,electro,health,cloth,jewelry,sport
16-Apr,395119,675,56349,82369,4622,5760,26905,15035,2287,3729
16-May,413405,745,57025,83292,4893,6141,27432,15723,2780,3873
16-Jun,410397,680,54626,82335,4921,6240,27264,15026,2200,4554
16-Jul,406139,655,56023,84840,4916,6353,26391,15332,2097,4241
16-Aug,416795,1502,55201,89078,5017,6833,27699,16159,2191,4230
16-Sep,394442,1039,54307,81760,5166,6365,26911,14793,2051,3527
16-Oct,397354,686,55734,79668,4781,6122,26372,15454,2131,3340
16-Nov,414458,715,53307,77907,5145,8183,26488,17665,2716,3809
16-Dec,482778,1239,57495,88256,5159,10624,30440,23743,6072,5746
17-Jan,368658,1373,52902,73667,4517,6250,26492,11655,1742,2915
17-Feb,365236,666,52747,76668,4624,5931,25479,12497,2435,2990
17-Mar,422916,684,60143,89892,5320,6565,28352,15564,2102,3732
17-Apr,407457,707,58601,81174,4617,5831,26627,15473,2173,3597
17-May,435053,761,60211,88451,5000,6254,28233,15747,2748,3750
17-Jun,423705,683,58751,85301,4952,6343,27674,15173,2242,4050
17-Jul,417371,647,58613,86322,4979,6232,26749,15185,2211,3855
17-Aug,432404,1372,58686,88972,5110,6679,28417,16214,2273,4156
17-Sep,413093,986,57313,85591,5084,6489,27293,14589,2229,3506
17-Oct,418517,669,58408,83662,4965,6377,28509,15258,2249,3332
17-Nov,443513,683,55933,82065,5386,8992,28087,18336,2834,3910
17-Dec,498971,1151,61408,87768,5344,10952,31307,23365,5888,5400
18-Jan,390689,1269,54795,76671,4697,6627,28292,11735,1917,2721
18-Feb,381932,689,55073,77657,4794,6279,26155,13064,2665,2963
18-Mar,446512,715,63868,94567,5675,6739,28975,16590,2382,3693
18-Apr,421678,689,60734,84471,5040,6024,27617,15117,2440,3446
18-May,465377,768,64705,92867,5427,6432,29460,17321,3097,3661
18-Jun,445793,707,64236,88864,5454,6559,28016,15934,2576,3925
18-Jul,443977,680,64033,88974,5350,6434,27934,16178,2377,3711
18-Aug,458781,1368,65152,93324,5606,6905,29418,16882,2467,3905
18-Sep,420602,976,60492,83124,5430,6456,27392,15055,2203,3003
18-Oct,444271,722,62089,85968,5229,6439,29981,15968,2406,3061
18-Nov,463403,752,59401,83384,5530,8836,29389,19295,2861,3542
18-Dec,500260,1270,63237,90543,5444,10543,31436,23750,6095,4798
19-Jan,402128,1136,57015,76785,4638,6525,29290,12077,1836,2575
19-Feb,387672,644,57122,78166,4616,5867,27440,12525,2557,2654
19-Mar,451740,664,66564,95730,5555,6418,29579,16165,2247,3409
19-Apr,446483,713,63693,88472,5077,5647,29538,15790,2427,3376
19-May,479072,763,67964,95891,5582,6164,30585,16752,3010,3504
19-Jun,451733,672,66251,89732,5326,6149,28602,15602,2311,3813
19-Jul,466814,646,66182,94300,5493,6220,29293,15763,2410,3773
19-Aug,479296,1226,68087,100172,5698,6619,29765,16828,2535,3985
19-Sep,435733,954,63420,86999,5565,6282,28606,14349,2359,3112
